,Training loss,Validation loss,Training accuracy,Validation accuracy
1,2.9178106784820557,1.9654375314712524,0.454647958278656,0.6420000195503235
2,1.573934555053711,1.3484975099563599,0.7029566764831543,0.7229999899864197
3,1.0892137289047241,1.155888557434082,0.7793785929679871,0.7670000195503235
4,0.8437033295631409,1.0543755292892456,0.8258581757545471,0.7870000004768372
5,0.6734722852706909,0.9750291109085083,0.8640691637992859,0.8050000071525574
6,0.5380726456642151,0.9393908977508545,0.8925081491470337,0.8100000023841858
7,0.43259671330451965,0.9510766863822937,0.912929117679596,0.800000011920929
8,0.35213503241539,0.9524363279342651,0.9270859360694885,0.800000011920929
9,0.29213839769363403,0.9167495369911194,0.9384865760803223,0.8109999895095825
10,0.24867963790893555,0.9318355917930603,0.9447506666183472,0.8080000281333923
11,0.21178103983402252,1.0063458681106567,0.947256326675415,0.8009999990463257
12,0.18925422430038452,0.9330335259437561,0.9502630829811096,0.8159999847412109
13,0.1677916944026947,0.9589440822601318,0.9541468024253845,0.8119999766349792
14,0.15389719605445862,1.021165132522583,0.9548985362052917,0.800000011920929
15,0.1467326283454895,1.0153746604919434,0.9547732472419739,0.8069999814033508
16,0.13645192980766296,1.0334950685501099,0.9571536183357239,0.8090000152587891
17,0.13053178787231445,1.0574419498443604,0.9552743434906006,0.8069999814033508
18,0.11884196102619171,1.0901943445205688,0.9585316777229309,0.800000011920929
19,0.11962505429983139,1.080399513244629,0.9576547145843506,0.8069999814033508
20,0.11482034623622894,1.0867689847946167,0.9591581225395203,0.800000011920929
