,Training loss,Validation loss,Training accuracy,Validation accuracy
1,2.166930675506592,1.410823941230774,0.6019794344902039,0.7089999914169312
2,1.1006499528884888,1.0791339874267578,0.7776246666908264,0.777999997138977
3,0.7687084078788757,0.960426390171051,0.8485342264175415,0.8040000200271606
4,0.566322922706604,0.8951313495635986,0.889877200126648,0.8169999718666077
5,0.4338288903236389,0.8341910243034363,0.915434718132019,0.8259999752044678
6,0.33894622325897217,0.8242262005805969,0.931345522403717,0.8259999752044678
7,0.27079060673713684,0.8464536070823669,0.9412428140640259,0.8190000057220459
8,0.22365213930606842,0.8531009554862976,0.9450012445449829,0.8159999847412109
9,0.19199232757091522,0.8305931687355042,0.9493861198425293,0.8180000185966492
10,0.1673663854598999,0.8537467122077942,0.9538962841033936,0.8169999718666077
11,0.1496681421995163,0.8953172564506531,0.9545226693153381,0.8090000152587891
12,0.13727594912052155,0.8695950508117676,0.9545226693153381,0.8220000267028809
13,0.12790897488594055,0.8886916637420654,0.9564018845558167,0.8130000233650208
14,0.12123344093561172,0.935927152633667,0.957278847694397,0.8100000023841858
15,0.11844661831855774,0.9430047869682312,0.9569030404090881,0.8149999976158142
16,0.11107466369867325,0.9485504627227783,0.9564018845558167,0.8149999976158142
17,0.1085829883813858,0.9702761173248291,0.9555249214172363,0.8090000152587891
18,0.1024039015173912,1.0009368658065796,0.9581558704376221,0.8100000023841858
19,0.10293498635292053,1.0109645128250122,0.9556502103805542,0.8109999895095825
20,0.09891905635595322,1.0215116739273071,0.9592834115028381,0.8080000281333923
